"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2011";887;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2012";872;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2013";993;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2014";1043;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2015";1177;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2016";1302;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2017";1526;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2018";1728;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2019";1843;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"40-49";"males total";"2020";1713;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2010";657;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2011";653;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2012";609;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2013";621;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2014";576;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2015";623;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2016";656;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2017";671;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2018";636;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2019";666;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"50-59";"males total";"2020";624;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2010";322;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2011";382;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2012";381;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2013";442;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2014";423;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2015";459;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2016";467;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2017";512;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2018";504;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2019";564;"-";"";
1400000;"MAZOWIECKIE";"total";"total";"60 and more";"males total";"2020";460;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2010";5693;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2011";5210;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2012";5351;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2013";4740;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2014";4822;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2015";4920;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2016";4828;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2017";4760;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2018";4710;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2019";4246;"-";"";
1600000;"OPOLSKIE";"total";"total";"females total";"males total";"2020";3326;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2010";243;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2011";203;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2012";192;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2013";146;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2014";116;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2015";90;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2016";94;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2017";81;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2018";62;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2019";70;"-";"";
1600000;"OPOLSKIE";"total";"total";"under 20 years";"males total";"2020";43;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2010";2067;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2011";1856;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2012";1810;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2013";1547;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2014";1525;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2015";1451;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2016";1336;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2017";1258;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2018";1158;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2019";904;"-";"";
1600000;"OPOLSKIE";"total";"total";"20-24";"males total";"2020";670;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2010";2135;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2011";1970;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2012";2055;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2013";1766;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2014";1808;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2015";1926;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2016";1922;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2017";1895;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2018";1857;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2019";1656;"-";"";
1600000;"OPOLSKIE";"total";"total";"25-29";"males total";"2020";1250;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2010";642;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2011";584;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2012";640;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2013";608;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2014";677;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2015";699;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2016";694;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2017";711;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2018";740;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2019";725;"-";"";
1600000;"OPOLSKIE";"total";"total";"30-34";"males total";"2020";560;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2010";226;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2011";225;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2012";239;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2013";267;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2014";274;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2015";307;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2016";281;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2017";303;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2018";369;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2019";340;"-";"";
1600000;"OPOLSKIE";"total";"total";"35-39";"males total";"2020";271;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2010";172;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2011";190;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2012";217;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2013";225;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2014";210;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2015";218;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2016";264;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2017";291;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2018";303;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2019";333;"-";"";
1600000;"OPOLSKIE";"total";"total";"40-49";"males total";"2020";277;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2010";137;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2011";124;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2012";123;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2013";118;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2014";147;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2015";147;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2016";154;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2017";147;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2018";145;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2019";128;"-";"";
1600000;"OPOLSKIE";"total";"total";"50-59";"males total";"2020";156;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2010";71;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2011";58;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2012";75;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2013";63;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2014";65;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2015";82;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2016";83;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2017";74;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2018";76;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2019";90;"-";"";
1600000;"OPOLSKIE";"total";"total";"60 and more";"males total";"2020";99;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2010";13213;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2011";12323;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2012";11859;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2013";10657;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2014";11287;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2015";10852;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2016";11114;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2017";10988;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2018";10874;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2019";10123;"-";"";
1800000;"PODKARPACKIE";"total";"total";"females total";"males total";"2020";7912;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2010";706;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2011";590;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2012";503;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2013";393;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2014";294;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2015";262;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2016";225;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2017";205;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2018";170;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2019";150;"-";"";
1800000;"PODKARPACKIE";"total";"total";"under 20 years";"males total";"2020";105;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2010";5519;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2011";5052;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2012";4823;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2013";4059;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2014";4172;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2015";3936;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2016";3836;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2017";3413;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2018";3243;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2019";2874;"-";"";
1800000;"PODKARPACKIE";"total";"total";"20-24";"males total";"2020";2208;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2010";4966;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2011";4631;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2012";4393;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2013";4158;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2014";4528;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2015";4332;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2016";4555;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2017";4784;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2018";4728;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2019";4416;"-";"";
1800000;"PODKARPACKIE";"total";"total";"25-29";"males total";"2020";3378;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2010";1239;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2011";1250;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2012";1266;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2013";1211;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2014";1370;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2015";1368;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2016";1437;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2017";1517;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2018";1507;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2019";1497;"-";"";
1800000;"PODKARPACKIE";"total";"total";"30-34";"males total";"2020";1163;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2010";364;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2011";363;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2012";419;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2013";399;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2014";466;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2015";453;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2016";517;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2017";474;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2018";588;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2019";568;"-";"";
1800000;"PODKARPACKIE";"total";"total";"35-39";"males total";"2020";493;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2010";241;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2011";232;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2012";241;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2013";252;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2014";253;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2015";302;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2016";328;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2017";382;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2018";392;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2019";391;"-";"";
1800000;"PODKARPACKIE";"total";"total";"40-49";"males total";"2020";368;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2010";116;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2011";139;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2012";145;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2013";122;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2014";135;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2015";117;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2016";138;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2017";139;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2018";153;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2019";138;"-";"";
1800000;"PODKARPACKIE";"total";"total";"50-59";"males total";"2020";127;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2010";62;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2011";66;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2012";69;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2013";63;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2014";69;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2015";82;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2016";78;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2017";74;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2018";93;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2019";89;"-";"";
1800000;"PODKARPACKIE";"total";"total";"60 and more";"males total";"2020";70;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2010";7003;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2011";6294;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2012";6398;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2013";5665;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2014";6135;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2015";6061;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2016";6279;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2017";5912;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2018";5956;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2019";5560;"-";"";
2000000;"PODLASKIE";"total";"total";"females total";"males total";"2020";4442;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2010";346;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2011";267;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2012";245;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2013";167;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2014";148;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2015";155;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2016";123;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2017";97;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2018";95;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2019";90;"-";"";
2000000;"PODLASKIE";"total";"total";"under 20 years";"males total";"2020";50;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2010";2620;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2011";2269;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2012";2274;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2013";1861;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2014";1948;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2015";1840;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2016";1789;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2017";1624;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2018";1499;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2019";1429;"-";"";
2000000;"PODLASKIE";"total";"total";"20-24";"males total";"2020";952;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2010";2776;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2011";2501;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2012";2611;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2013";2375;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2014";2590;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2015";2593;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2016";2723;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2017";2519;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2018";2552;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2019";2337;"-";"";
2000000;"PODLASKIE";"total";"total";"25-29";"males total";"2020";1942;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2010";719;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2011";724;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2012";721;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2013";726;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2014";804;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2015";842;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2016";919;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2017";911;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2018";990;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2019";877;"-";"";
2000000;"PODLASKIE";"total";"total";"30-34";"males total";"2020";762;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2010";211;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2011";224;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2012";236;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2013";230;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2014";276;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2015";282;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2016";325;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2017";331;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2018";375;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2019";345;"-";"";
2000000;"PODLASKIE";"total";"total";"35-39";"males total";"2020";318;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2010";178;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2011";179;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2012";163;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2013";162;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2014";177;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2015";189;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2016";241;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2017";251;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2018";251;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2019";290;"-";"";
2000000;"PODLASKIE";"total";"total";"40-49";"males total";"2020";259;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2010";95;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2011";90;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2012";103;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2013";93;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2014";124;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2015";111;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2016";107;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2017";118;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2018";123;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2019";124;"-";"";
2000000;"PODLASKIE";"total";"total";"50-59";"males total";"2020";102;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2010";58;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2011";40;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2012";45;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2013";51;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2014";68;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2015";49;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2016";52;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2017";61;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2018";71;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2019";68;"-";"";
2000000;"PODLASKIE";"total";"total";"60 and more";"males total";"2020";57;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2010";13604;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2011";12351;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2012";12072;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2013";10724;"-";"";
2200000;"POMORSKIE";"total";"total";"females total";"males total";"2014";11461;"-";"";
